"date","hour","geothermal","biomass","biogas","small_hydro","wind","solar_pv","solar_thermal"
2017-01-01,1,1006,228,185,318,945,0,0
2017-01-01,2,1006,221,185,316,1690,0,0
2017-01-01,3,1006,224,185,304,1890,0,0
2017-01-01,4,1006,222,185,303,2286,0,0
2017-01-01,5,1007,224,185,303,2607,0,0
2017-01-01,6,1007,223,185,313,2875,0,0
2017-01-01,7,1008,224,184,356,2878,0,0
2017-01-01,8,1008,221,184,365,2168,678,0
2017-01-01,9,1007,225,183,365,1970,3457,22
2017-01-01,10,1006,228,184,269,2049,5058,210
2017-01-01,11,1006,227,186,274,1856,4824,413
2017-01-01,12,1005,229,184,270,1765,5549,361
2017-01-01,13,1005,229,190,252,2028,5765,217
2017-01-01,14,1005,231,190,244,2233,5701,199
2017-01-01,15,1005,231,190,248,2268,5297,169
2017-01-01,16,1006,228,190,319,2210,3252,254
2017-01-01,17,1007,228,192,398,2395,0,2
2017-01-01,18,1007,229,191,453,2439,0,0
2017-01-01,19,1007,227,191,455,2662,0,0
2017-01-01,20,1007,228,186,452,2730,0,0
2017-01-01,21,1007,227,184,452,2812,0,0
2017-01-01,22,1007,227,190,396,2844,0,0
2017-01-01,23,1006,228,190,359,2496,0,0
2017-01-01,24,1007,227,191,320,2381,0,0
2017-01-02,1,1007,225,188,317,1894,0,0
2017-01-02,2,1007,226,189,302,2054,0,0
2017-01-02,3,1007,226,188,277,2133,0,0
2017-01-02,4,1007,226,188,271,1937,0,0
2017-01-02,5,1007,221,189,281,1853,0,0
2017-01-02,6,1007,221,188,326,1738,0,0
2017-01-02,7,1008,220,190,388,1834,0,0
2017-01-02,8,1008,220,193,392,1767,238,0
2017-01-02,9,1007,221,193,398,1864,1129,0
2017-01-02,10,1007,221,194,325,1653,1908,0
2017-01-02,11,1007,222,194,324,1373,2593,0
2017-01-02,12,1007,221,194,313,1566,2880,0
2017-01-02,13,1006,222,195,265,1788,2873,0
2017-01-02,14,1006,223,195,265,1857,2428,2
2017-01-02,15,1006,223,195,302,1801,1743,2
2017-01-02,16,1006,223,194,330,1477,952,25
2017-01-02,17,1006,226,193,405,1404,0,5
2017-01-02,18,1006,226,193,459,1094,0,0
2017-01-02,19,1006,226,190,459,914,0,0
2017-01-02,20,1007,228,191,459,899,0,0
2017-01-02,21,1006,230,191,423,836,0,0
2017-01-02,22,1006,229,190,381,899,0,0
2017-01-02,23,1006,228,190,353,983,0,0
2017-01-02,24,1006,227,190,330,1117,0,0
2017-01-03,1,995,230,190,319,927,0,0
2017-01-03,2,976,228,190,316,1175,0,0
2017-01-03,3,1008,229,190,309,1004,0,0
2017-01-03,4,1007,227,190,261,952,0,0
2017-01-03,5,1006,230,191,311,935,0,1
2017-01-03,6,1006,230,190,333,889,0,35
2017-01-03,7,1005,230,193,394,982,0,73
2017-01-03,8,1005,237,191,394,898,289,122
2017-01-03,9,1005,245,192,395,745,1264,181
2017-01-03,10,1003,248,193,322,601,2502,220
2017-01-03,11,1002,248,193,319,455,3562,253
2017-01-03,12,1002,249,193,321,372,3474,259
2017-01-03,13,1001,253,194,309,424,2823,262
2017-01-03,14,1002,254,194,300,523,2235,244
2017-01-03,15,1002,253,194,309,577,1389,234
2017-01-03,16,1002,253,193,338,941,715,261
2017-01-03,17,1001,249,193,439,1210,0,248
2017-01-03,18,1000,251,192,467,1298,0,233
